recID,X,Y,Z,PopWH,PopOH
159,455814.5983,3758927.872,0,11.03,0
160,468545.5922,3754351.78,0,77.94,0
161,465514.716,3756434.313,0,52.01,0
162,466627.3396,3760216.049,0,22.55,0
163,466721.2442,3759793.477,0,81.43,0
164,465516.1579,3756106.659,0,14.63,0
165,462732.4283,3756172.333,0,0,0
166,468093.165,3756309.993,0,48.78,0
167,453655.0855,3749687.391,0,32.52,0
168,453512.2677,3751833.48,0,29.83,0
169,465055.4106,3756644.848,0,26.44,0
170,452706.5713,3749143.284,0,49.12,0
171,456892.2267,3752378.188,0,19.47,0
172,451365.0489,3759011.788,0,122.47,0
173,464878.5114,3756754.474,0,359.71,0
174,456927.8718,3750771.376,0,0,0
175,464575.7689,3751114.058,0,13.29,0
176,465186.3913,3749971.437,0,126.7,0
177,472671.7665,3750292.375,0,77.53,0
178,462834.1925,3756342.877,0,227.95,0
179,460763.8714,3753140.659,0,59.82,0
180,467508.3885,3758558.649,0,83.35,0
181,465256.9745,3759812.629,0,0,0
182,467610.7276,3754099.427,0,41.7,0
183,471161.3231,3758875.981,0,71.5,0
184,472076.1516,3750380.148,0,34.83,0
185,466891.5916,3759217.946,0,53.08,0
186,468359.7605,3751020.966,0,58.21,0
187,471835.1518,3756419.173,0,0,0
188,465908.7664,3758520.739,0,54.76,0
189,473837.4739,3747783.179,0,0,0
190,469206.5126,3764143.313,0,0,0
191,455493.2124,3751076.301,0,22.75,0
192,467643.0742,3749399.271,0,14.09,0
193,451196.3292,3749292.092,0,0,0
194,454031.9598,3754203.099,0,46.65,0
195,467158.6974,3749057.986,0,59.47,0
196,464775.2046,3755958.554,0,124.41,0
197,469162.8539,3760945.977,0,416.48,0
198,452441.2723,3755034.143,0,0,0
199,452168.8852,3757105.982,0,0,0
200,465855.0946,3761129.937,0,50.18,0
201,469727.6712,3756808.633,0,10,0
202,457488.0222,3755246.357,0,137.45,0
203,468355.6784,3755499.685,0,25.4,0
204,473361.4449,3754621.382,0,0,0
205,467595.851,3756762.193,0,36.01,0
206,463404.2838,3758480.197,0,45.18,0
207,455699.2202,3749814.655,0,23.87,0
208,451549.5571,3749705.2,0,318.45,0
209,470379.2365,3752541.211,0,45.14,0
210,452598.6463,3750138.508,0,79.5,0
211,460103.87,3754568.549,0,24.63,0
212,454702.5607,3752937.331,0,269.63,0
213,452104.7105,3748463.408,0,151.19,0
214,470612.2683,3749269.09,0,89.24,0
215,466720.7809,3759950.773,0,26.41,0
216,465947.0211,3758985.276,0,51.66,0
217,457912.1313,3752430.471,0,61.39,0
218,458616.237,3753390.212,0,0,0
219,461138.5077,3756558.263,0,94.91,0
220,466692.974,3759319.554,0,36.49,0
221,465099.35,3754998.071,0,14.6,0
222,462220.761,3755089.676,0,98.62,0
223,464454.2332,3755948.619,0,125.43,0
224,469972.1275,3751451.759,0,97.32,0
225,453373.1534,3748447.544,0,424.59,0
226,467884.1769,3760806.55,0,64.75,0
227,464435.2769,3760781.657,0,40.75,0
228,471786.142,3756379.514,0,12.06,0
229,473777.6574,3763978.946,0,0,0
230,461108.3172,3755266.846,0,27.66,0
231,464214.1867,3755902.254,0,120.13,0
232,468534.7052,3757223.381,0,0,0
233,457297.089,3755407.526,0,40.47,0
234,470959.589,3757320.421,0,0,0
235,464386.3562,3755485.719,0,107.81,0
236,472116.1965,3756181.262,0,327.28,0
237,469715.0516,3758636.56,0,0,0
238,463158.701,3756112.477,0,158.88,0
239,461922.1748,3750622.399,0,14.8,0
240,458230.2457,3754435.452,0,24,0
241,467922.8232,3762425.544,0,14.26,0
242,455627.1439,3758920.232,0,108.35,0
243,472229.9986,3751121.901,0,18.55,0
