_id,_x,_y
10473,1010187.0217542886,3764291.855450599
10474,1010158.166124006,3764271.041895051
10475,1010114.7347604549,3764246.7925869385
10476,1010043.7563770595,3764214.856092617
10477,1010038.7645637494,3764213.540302763
10478,1010022.187327071,3764209.150275615
10479,1009948.4400230685,3764186.712174701
1048,1009954.181677985,3765790.50205567
10480,1022773.7337943088,3778198.311571641
10481,1022776.6925022261,3778148.6138094217
10482,1022780.3738582274,3778098.0981457313
10483,1012892.74626715,3766373.9360019057
10484,1017119.0067369348,3776092.218523212
10485,1017022.2887397716,3775909.766001082
10486,1017008.2879184129,3775880.4223187985
10487,1016997.2740300015,3775863.463995038
10488,1021263.4422385657,3762149.8675957695
10489,1021186.8926224306,3762146.0946547524
1049,1021508.8462696831,3770674.028593738
10490,1010063.2244617841,3763778.08492263
10491,1008769.4580840501,3768202.7867801837
10492,1008714.9711450788,3768371.210864681
10493,1008650.7103257542,3768439.9489381514
10494,1008571.3967675937,3768687.173546561
10495,1018499.8398463192,3774324.923108883
10496,1018459.3250109472,3774246.1692417236
10497,1018449.2804086565,3774225.073281301
10498,1018446.3629038393,3774209.2373285317
10499,1018446.6419314906,3774193.164626651
105,1007061.2173769709,3763675.4682084285
1050,1021492.0012803536,3770604.677663938
10500,1018335.430213504,3774094.420638769
10501,1018286.6063268527,3774021.4064908456
10502,1017943.9116521399,3773959.1231389674
10503,1017891.575491456,3774060.8019802473
10504,1018861.1935324009,3774617.3213211866
10505,1018805.4783523977,3774582.696581167
10506,1018522.857567876,3774313.4301000335
10507,1004779.6377805629,3764284.7728685685
10508,1004687.6085263828,3764334.536849775
10509,1004339.9256221163,3764123.7341490276
1051,1020604.7113987785,3769086.9648849256
10510,1021320.0450761917,3771021.0795387956
10511,1013102.4229739339,3763481.3690916034
10512,1013038.2110541856,3763601.423422626
10513,1012788.4753730705,3763926.9383986574
10514,1012784.4941949439,3763932.181502075
10515,1012773.8651799599,3763947.8259880575
10516,1012801.9752522992,3763968.1177063785
10517,1012796.8163005596,3763974.867790264
10518,1012579.9344074611,3764258.6846859776
10519,1012539.4196041564,3764316.2582149566
1052,1020494.2852379433,3769224.7935253396
10520,1020755.7806720624,3776453.719274683
10521,1020703.5902117568,3776479.12855003
10522,1014517.8713869925,3776177.315974552
10523,1014528.4158408903,3776099.806810214
10524,1014529.9184970676,3776092.1571987416
10525,1018307.2163348361,3778510.2038324145
10526,1018264.2738765101,3778507.4649539893
10527,1018244.4703261722,3778506.2206591642
10528,1018194.0081667926,3778503.0688647046
10529,1018096.5454048761,3778526.803900158
1053,1020398.8372440448,3769344.1274212217
10530,1018073.2889319579,3778544.8453015597
10531,1017961.9441283984,3778611.392607784
10532,1017802.7806615892,3778632.2762969043
10533,1017726.4107728316,3778665.4174883584
10534,1017630.5656436002,3778720.9312969614
10535,1017413.4926398781,3778849.1296178317
10536,1007545.3022243851,3764135.783005917
10537,1007582.9065426523,3763843.3430653317
10538,1018904.370599062,3772053.5160463946
10539,1018921.9171896239,3771812.0442569954
1054,1020370.7807185001,3769390.4147193013
10540,1016396.6443643819,3768507.5174098774
10541,1016370.9552654405,3768539.7269887673
10542,1015999.365874897,3769041.8848897377
10543,1020738.4224648692,3776786.7711200807
10544,1020280.1080186733,3769509.933984928
10545,1020123.204656502,3769356.243001288
10546,1020641.580567907,3772628.048964675
10547,1020583.105155298,3772657.851229069
10548,1012194.9020313446,3776884.147789929
10549,1021439.9938778819,3770775.053582068
1055,1020334.369013031,3769441.8912311457
10550,1011064.8089037635,3765569.8773737154
10551,1018805.1308133905,3766641.9097256223
10552,1018686.7535666018,3766536.7806636444
10553,1013197.759970536,3768647.666874652
10554,1022321.877709837,3769493.866912769
10555,1026363.1264903725,3770885.0654052007
10556,1022366.5193692025,3774007.4496282763
10557,1022217.1457327541,3773998.3651302587
10558,1022179.5759220449,3773996.0762898056
10559,1022164.6161129731,3773995.17124668
1056,1016139.2465608069,3766839.7576963315
10560,1022090.5122508442,3773990.161140388
10561,1021964.1946274233,3773981.619774014
10562,1021906.463021477,3773978.329278348
10563,1021562.7275094925,3773955.420025395
10564,1022361.2186189152,3774083.9923288156
10565,1022441.8378450889,3774088.0057417722
10566,1022495.0271354751,3774090.680640502
10567,1022513.4485341026,3774091.7665929017
10568,1022556.4800032557,3774094.659837816
10569,1003718.798533159,3769507.923022985
1057,1016057.6194390596,3766949.3877445976
10570,1006054.952165954,3769658.986314203
10571,1005928.7073198663,3769651.25199238
10572,1005654.3852492499,3769634.8996295063
10573,1005124.3703446537,3769603.8376271
10574,1004857.8747949497,3769592.3818927533
10575,1004753.5557098296,3769587.4711200027
10576,1004539.2186274745,3769574.163455212
10577,1004185.5077369255,3769553.9311175803
10578,1022547.6361168851,3774172.800561148
10579,1022569.0082696257,3774174.4064569664
1058,1010479.3417561913,3765780.642326175
10580,1022652.7787806685,3774177.9944818714
10581,1022702.4986473926,3774180.4563547713
10582,1022948.3463183602,3774074.3204005323
10583,1022864.8391002676,3774070.1428310275
10584,1022851.1385059773,3774069.462383397
10585,1021558.897968467,3774016.533705779
10586,1021416.9465489141,3774007.893937626
10587,1011541.6826423635,3766473.972046589
10588,1021880.331322469,3776597.9355256096
10589,1021842.2859001805,3776548.7229876057
1059,1010420.8572116755,3765855.243255335
10590,1021816.6897381876,3776494.550021495
10591,1021791.2382365712,3776443.293253229
10592,1021738.5901203048,3776336.237941434
10593,1021712.5887574086,3776282.8230287586
10594,1021575.6197118345,3775983.2767624934
10595,1021734.8457250564,3775801.091546565
10596,1021744.7416658893,3775785.4268969917
10597,1021618.6086681632,3775611.749627621
10598,1021550.9804122834,3775593.0827291673
10599,1021523.0059323423,3775586.567891377
106,1007053.5612598667,3763669.60061993
1060,1023743.1504012321,3775016.281544643
10600,1021432.468054258,3775571.1710374723
10601,1019876.37353678,3769491.6806492107
10602,1018059.0277822585,3768991.2772016944
10603,1017731.6943901887,3768736.334038632
10604,1025237.6066618448,3774993.976197952
10605,1005938.4834678861,3764057.917381507
10606,1012052.2008920552,3768888.916433663
10607,1011826.8801968383,3769139.26650024
10608,1011821.6119556227,3769226.3397589275
10609,1008605.0909277834,3767350.1521103936
1061,1023523.3497263829,3775005.172698324
10610,1013900.6154692045,3766692.5484790243
10611,1013859.4778518984,3766655.9706253633
