"longtitue.x","latitude.x","longtitue.y","latitude.y","Count"
-117.3616014,33.9829496,-117.298327,33.946599,13
-117.3698051,33.9776748,-117.298327,33.946599,6
-117.4523699,33.9079045,-117.298327,33.946599,19
-117.4523699,33.9079045,-117.313174,33.960619,28
-117.3629496,34.01489,-117.313174,33.960619,12
-117.347818,34.0080201,-117.298327,33.946599,6
-117.3629496,34.01489,-117.298327,33.946599,16
-117.347818,34.0080201,-117.313174,33.960619,8
-117.3376963,33.9866368,-117.313174,33.960619,10
-117.3398191,33.9915782,-117.313174,33.960619,21
-117.3398191,33.9915782,-117.298327,33.946599,8
-117.395385,33.9449499,-117.298327,33.946599,20
-117.395385,33.9449499,-117.313174,33.960619,21
-117.395385,33.9449499,-117.50298,33.893499,3
-117.4227462,33.9015729,-117.50298,33.893499,5
-117.4227462,33.9015729,-117.313174,33.960619,27
-117.4227462,33.9015729,-117.298327,33.946599,12
-117.330895,33.9581516,-117.313174,33.960619,23
-117.330895,33.9581516,-117.50298,33.893499,3
-117.460673,33.884688,-117.298327,33.946599,21
-117.460673,33.884688,-117.50298,33.893499,3
-117.460673,33.884688,-117.313174,33.960619,17
-117.4032451,33.9561883,-117.313174,33.960619,20
-117.4032451,33.9561883,-117.298327,33.946599,20
-117.4719818,33.8917259,-117.313174,33.960619,7
-117.475855,33.9019797,-117.298327,33.946599,9
-117.475855,33.9019797,-117.313174,33.960619,4
-117.4726169,33.897001,-117.298327,33.946599,5
-117.4732342,33.8985053,-117.313174,33.960619,2
-117.4726169,33.897001,-117.313174,33.960619,5
-117.3771523,33.9845019,-117.313174,33.960619,17
-117.3771523,33.9845019,-117.298327,33.946599,11
-117.3648585,33.9866863,-117.313174,33.960619,4
-117.3648585,33.9866863,-117.298327,33.946599,4
-117.3771523,33.9845019,-117.50298,33.893499,4
-117.27886,33.942407,-117.313174,33.960619,18
-117.27886,33.942407,-117.298327,33.946599,16
-117.27886,33.942407,-117.50298,33.893499,4
-117.461024,33.956617,-117.298327,33.946599,11
-117.4582163,33.9525436,-117.313174,33.960619,8
-117.4582163,33.9525436,-117.298327,33.946599,10
-117.461024,33.956617,-117.313174,33.960619,7
-117.4582163,33.9525436,-117.50298,33.893499,1
-117.3325532,33.8868031,-117.50298,33.893499,1
-117.3322079,33.9018696,-117.313174,33.960619,1
-117.333268,33.9024584,-117.298327,33.946599,2
-117.3357251,33.8801758,-117.313174,33.960619,2
-117.333268,33.9024584,-117.313174,33.960619,4
-117.3386577,33.9048337,-117.313174,33.960619,1
-117.3357251,33.8801758,-117.298327,33.946599,2
-117.4035631,33.9619705,-117.313174,33.960619,5
-117.4091836,33.9674564,-117.313174,33.960619,5
-117.4030863,33.9625981,-117.313174,33.960619,4
-117.4149341,33.9621894,-117.313174,33.960619,3
-117.4019768,33.9672728,-117.50298,33.893499,1
-117.4091836,33.9674564,-117.298327,33.946599,3
-117.4019768,33.9672728,-117.313174,33.960619,4
-117.310982,33.957994,-117.298327,33.946599,12
-117.310982,33.957994,-117.50298,33.893499,3
-117.310982,33.957994,-117.313174,33.960619,17
-117.344058,34.016189,-117.313174,33.960619,13
-117.344058,34.016189,-117.298327,33.946599,17
-117.344058,34.016189,-117.50298,33.893499,2
-117.3506642,33.9767725,-117.298327,33.946599,13
-117.3494077,33.9733083,-117.313174,33.960619,5
-117.4646337,33.9156083,-117.313174,33.960619,12
-117.4646337,33.9156083,-117.298327,33.946599,14
-117.4646337,33.9156083,-117.50298,33.893499,4
-117.4993962,33.8973871,-117.298327,33.946599,9
-117.4993962,33.8973871,-117.313174,33.960619,7
-117.5016599,33.8946854,-117.298327,33.946599,6
-117.5016599,33.8946854,-117.313174,33.960619,6
-117.3903187,33.9706014,-117.298327,33.946599,15
-117.3903187,33.9706014,-117.50298,33.893499,1
-117.3903187,33.9706014,-117.313174,33.960619,12
-117.506306,33.900313,-117.313174,33.960619,10
-117.506306,33.900313,-117.50298,33.893499,3
-117.506306,33.900313,-117.298327,33.946599,15
-117.527692,33.953536,-117.298327,33.946599,10
-117.527692,33.953536,-117.313174,33.960619,16
-117.527692,33.953536,-117.50298,33.893499,2
-117.4671557,33.8954758,-117.298327,33.946599,9
-117.4671557,33.8954758,-117.50298,33.893499,2
