"id","WH_0_5","WH_5_9","WH_10_14","WH_15_29","WH_30_64","WH_65up"
"60650304001021",0.4,0.06,0.03,3,3,0.8
"60650304001022",2.8,0.18,0.21,23,23,3.2
"60650304001023",7.6,0.48,0.33,29,29,2.4
"60650304001024",2.8,0.18,0.15,16,16,2.4
"60650304001025",0,0,0,0,0,0
"60650304001026",0,0,0,0,0,0
"60650304001027",0,0,0,0,0,0
"60650304001000",1.6,0.09,0.06,10,10,0.8
"60650304001001",2.8,0.24,0.12,10,10,2.4
"60650304001004",0,0,0,0,0,0
"60650304001005",0,0,0,0,0,0
"60650304001006",0,0,0,0,0,0
"60650304001007",2.8,0.21,0.09,16,16,1.6
"60650304001009",2.4,0.21,0.27,28,28,4
"60650304001010",1.2,0.12,0.09,11,11,0.8
"60650304001011",0,0,0,0,0,0
"60650304001012",0,0,0,0,0,0
"60650304001013",0,0,0,0,0,0
"60650304001014",0,0,0,0,0,0
"60650304001016",0,0,0,0,0,0
"60650304001017",0,0,0,0,0,0
"60650304001003",0,0,0,0,0,0
"60650304001002",0,0,0,0,0,0
"60650304001015",0,0,0,0,0,0
"60650304001008",5.2,0.33,0.24,16,16,0.8
"60650304002000",18.8,1.2,1.11,128,128,21.6
"60650304002001",2.4,0.09,0.12,14,14,5.6
"60650304002002",0.8,0.06,0.03,5,5,0
"60650304002003",4.4,0.3,0.54,29,29,8
"60650304002004",0.8,0.12,0.06,15,15,5.6
"60650304002005",3.2,0.27,0.3,33,33,11.2
"60650304002006",0.4,0.03,0,3,3,0.8
"60650304002008",0.4,0.06,0.15,9,9,41.6
"60650304002012",0.8,0.06,0.09,3,3,10.4
"60650304002013",0.8,0.06,0.15,17,17,12.8
"60650304002009",0.8,0.18,0.09,13,13,4.8
"60650304002010",0.8,0.06,0.09,6,6,5.6
"60650304002011",0.4,0.06,0.12,6,6,4
"60650304002007",0.4,0.06,0.03,4,4,0.8
"60650304003000",0,0,0,0,0,0
"60650304003001",0.4,0,0,6,6,2.4
"60650304003002",0,0.06,0,0,0,0
"60650304003003",0,0,0,0,0,0
"60650304003004",0,0,0,0,0,0
"60650304003005",1.6,0.09,0.03,9,9,1.6
"60650304003006",3.2,0.3,0.36,25,25,0.8
"60650304003009",0.4,0.03,0.09,9,9,3.2
"60650304003010",2,0.42,0.33,23,23,3.2
"60650304003011",0,0,0,0,0,0.8
"60650304003012",2.8,0.27,0.33,16,16,0.8
"60650304003013",5.6,0.42,0.09,25,25,0.8
"60650304003014",0.4,0.27,0.39,21,21,4
"60650304003015",0,0,0,0,0,0
"60650304003007",2,0.48,0.27,19,19,1.6
"60650304003008",1.2,0.09,0.09,9,9,2.4
"60650304003017",0,0,0,0,0,0
"60650304003018",0,0,0,0,0,0
"60650304003021",0.4,-0.03,0.24,12,12,4.8
"60650304003024",1.2,0.12,0.09,16,16,9.6
"60650304003022",1.2,0.12,0.21,10,10,5.6
"60650304003016",0,0,0,0,0,0
"60650304003019",2.4,0.51,0.42,24,24,3.2
"60650304003020",1.6,0.03,0.27,21,21,0.8
"60650304003023",0,0.21,0.15,3,3,9.6
"60650304003025",5.2,0.45,0.33,49,49,6.4
"60650304003026",2,0.18,0.12,13,13,7.2
"60650304004019",6.4,0.09,0.24,26,26,2.4
"60650304004000",0.4,0.03,0.24,4,4,0
"60650304004001",3.6,0.27,0.33,28,28,5.6
"60650304004002",2.4,0.06,0.09,19,19,3.2
"60650304004003",1.2,0.03,0.15,18,18,0.8
"60650304004004",0,0,0,0,0,0
"60650304004005",0,0,0,0,0,0
"60650304004006",0.4,0,0.18,3,3,0
"60650304004007",0,0,0,0,0,0
"60650304004008",0,0,0,0,0,0
"60650304004009",0,0,0,0,0,0
"60650304004010",5.2,0.6,0.36,40,40,11.2
"60650304004011",4.8,0.57,0.3,36,36,5.6
"60650304004012",0.4,0.06,0.09,17,17,1.6
"60650304004013",3.6,0.18,0.18,24,24,0.8
"60650304004014",0.8,0.09,0.03,6,6,5.6
"60650304004015",4,0.39,0.24,47,47,5.6
"60650304004016",3.2,0.15,0.27,38,38,5.6
"60650304004017",3.6,0.18,0.09,25,25,4
"60650304004018",0.8,0.09,0.09,6,6,2.4
"60650304004020",0.4,0.06,0.06,10,10,0.8
"60650304005004",0,0,0,0,0,0
"60650304005005",0,0,0,0,0,0
"60650304005006",0,0,0,0,0,0
"60650304005010",0.8,0.03,0,2,2,0
"60650304005011",0,0,0,0,0,0
"60650304005012",2,0.06,0,3,3,0
"60650304005013",2.4,0.18,0.21,28,28,4.8
"60650304005014",10.4,0.69,0.48,42,42,5.6
"60650304005015",0,0,0,0,0,0
"60650304005016",6,0.06,0.15,31,31,4
"60650304005017",0.4,0.03,0.09,5,5,13.6
"60650304005018",0.8,0.06,0.18,10,10,2.4
"60650304005019",3.6,0.3,0.18,28,28,0.8
"60650304005020",0.8,0.24,0.24,21,21,0.8
"60650304005021",6.8,0.63,0.51,23,23,6.4
"60650304005022",2.8,0.33,0.15,17,17,7.2
"60650304005023",7.2,0.84,0.33,47,47,13.6
"60650304005024",8.4,0.45,0.69,53,53,16
"60650304005025",8.4,0.48,1.11,53,53,13.6
"60650304005026",5.6,0.27,0.27,27,27,2.4
"60650304005027",2.8,0.24,0.15,18,18,3.2
"60650304005028",3.2,0.18,0.33,33,33,2.4
"60650304005029",2.4,0.18,0.15,22,22,5.6
"60650304005030",7.6,0.66,0.75,51,51,16
"60650304005031",0.8,0.06,0.15,20,20,0
"60650304005032",0,0,0,0,0,0
"60650304005033",2.4,0.18,0.18,11,11,4
"60650304005034",0.8,0.15,0.03,1,1,0
"60650304005000",0,0,0,0,0,0
"60650304005001",0,0,0,0,0,0
"60650304005002",0,0,0,0,0,0
"60650304005003",0,0,0,0,0,0
"60650304005007",0.8,0,0.06,2,2,3.2
"60650304005008",0,0,0,0,0,0
"60650304005009",0,0,0,0,0,0
"60650305011008",0.4,0.03,0.06,19,19,0.8
"60650305011001",10.4,0.69,0.84,72,72,8
"60650305011003",5.6,0.33,0.54,47,47,7.2
"60650305011009",0.4,0.06,0.06,22,22,0.8
"60650305011002",5.2,0.45,0.54,44,44,8
"60650305011004",4.8,0.48,0.42,97,97,54.4
"60650305011005",0.8,0,0,14,14,1.6
"60650305011010",0.8,0.03,0,17,17,1.6
"60650305011000",15.6,1.11,0.81,89,89,10.4
"60650305011006",1.2,0.15,0,33,33,0
"60650305011007",1.6,0.12,0.03,58,58,1.6
"60650305012001",2.8,0.12,0.12,26,26,0
"60650305012002",3.2,0.09,0.03,29,29,0
"60650305012004",1.2,0.09,0.21,6,6,0
"60650305012005",0,0,0,0,0,0
"60650305012008",0,0,0,0,0,0
"60650305012000",0.8,0.09,0.15,14,14,1.6
"60650305012003",2.4,0.15,0.21,18,18,4.8
"60650305012011",0,0,0,0,0,0
"60650305012010",1.2,0.15,0.15,32,32,62.4
"60650305012015",6.4,0.63,0.48,35,35,7.2
"60650305012018",1.2,0.09,0.06,13,13,2.4
"60650305012006",0,0,0,0,0,0
"60650305012007",0,0,0,4,4,0
"60650305012009",0,0,0,0,0,0
"60650305012012",0,0,0,0,0,0
"60650305012013",1.6,0.12,0.09,11,11,3.2
"60650305012014",0.8,0.45,0.21,14,14,0.8
"60650305012016",2.4,0.21,0.24,17,17,2.4
"60650305012017",0,0,0,0,0,0
"60650305012020",1.2,0.21,0.27,16,16,0
"60650305012021",4.4,0.3,0.18,21,21,0.8
"60650305012019",0,0.06,0.18,12,12,3.2
"60650305012022",12.4,0.78,0.66,84,84,8.8
"60650305013001",0.4,0.12,0.12,2,2,3.2
"60650305013000",2.8,0.21,0.12,20,20,4.8
"60650305013002",3.2,0.18,0.03,8,8,4.8
"60650305013003",2.8,0.21,0.12,14,14,1.6
"60650305013004",3.2,0.27,0.15,22,22,1.6
"60650305013005",2,0.21,0.18,16,16,7.2
"60650305013006",2,0.18,0.39,20,20,8
"60650305013007",2,0.09,0.21,9,9,0
"60650305013008",-0.4,0.15,0.3,13,13,0.8
"60650305013009",2.8,0.09,0.15,11,11,6.4
"60650305013010",2.4,0.09,0.21,14,14,10.4
"60650305013011",0,0,0,0,0,0
"60650305013012",7.2,0.45,0.48,36,36,5.6
"60650305013013",1.6,0.06,0.03,12,12,0.8
"60650305013014",1.2,0.18,0.36,28,28,7.2
"60650305013015",2.4,0.15,0.21,24,24,4
"60650305013016",0,0,0,3,3,0
"60650305014004",4.8,0.21,0.24,27,27,11.2
"60650305014006",0.4,0.03,0.09,8,8,0.8
"60650305014007",0,0,0.03,4,4,3.2
"60650305014003",5.2,0.45,0.24,33,33,9.6
"60650305014000",2.8,0.36,0.3,28,28,7.2
"60650305014001",2.8,0.33,0.33,38,38,11.2
"60650305014002",4,0.39,0.24,35,35,8.8
"60650305014005",2.8,0.15,0.12,18,18,18.4
"60650305021001",0,0,0,0,0,0
"60650305021022",1.6,0.12,0.09,26,26,3.2
"60650305021002",0,0,0,0,0,0
"60650305021029",3.2,0.09,0.15,7,7,4.8
"60650305021000",0,0,0,0,0,0
"60650305021003",0,0,0,0,0,0
"60650305021005",0,0,0,0,0,0
"60650305021008",0,0,0,0,0,0
"60650305021009",0,0,0,0,0,0
"60650305021010",2.4,0.12,0,32,32,4.8
"60650305021012",0,0,0,0,0,0
"60650305021013",0,0,0,0,0,0
"60650305021014",0.4,0.06,0.12,24,24,4
"60650305021015",0,0,0,0,0,0
"60650305021016",0,0,0,0,0,0
"60650305021017",0,0,0,0,0,0
"60650305021018",0,0,0,0,0,0
"60650305021019",3.6,0.27,0.39,30,30,4
"60650305021020",7.2,0.48,0.48,45,45,6.4
"60650305021021",9.2,0.63,0.57,59,59,1.6
"60650305021023",5.6,0.21,0.06,14,14,1.6
"60650305021024",3.2,0.09,0.03,14,14,1.6
"60650305021025",2.8,0.06,0.18,9,9,0.8
"60650305021026",1.6,0.12,0.27,9,9,0
"60650305021027",1.2,0.06,0.12,10,10,0.8
"60650305021028",3.2,0.09,0.12,10,10,0
"60650305021030",2,0.09,0.18,21,21,4.8
"60650305021031",3.2,0.33,0.15,22,22,4
"60650305021032",0,0,0,0,0,0
