,schools_name,schools_enrollment,schools_adress,schools_adress_url,Latitude,Longitude
100,Cottonwood Mont Pre-School,?,"4302 Pedley Road, Riverside, CA 92509",https://www.greatschools.org/california/riverside/21628-Cottonwood-Mont-Pre-School/#Neighborhood,34.0099592,-117.474944
101,Centro De Ninos,?,"2010 Martin Luther King Boulevard, Riverside, CA 92507",https://www.greatschools.org/california/riverside/21629-Centro-De-Ninos/#Neighborhood,33.9680628,-117.3551833
102,Building Loving Hands Child Care Center,?,"4550 La Sierra Ave., Riverside, CA 92505",https://www.greatschools.org/california/riverside/21630-Building-Loving-Hands-Child-Care-Center/#Neighborhood,33.9144667,-117.4858772
103,Kids Umlimited Children's Center,?,"4655 Texas St, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21631-Kids-Umlimited-Childrens-Center/#Neighborhood,33.9451443,-117.4377886
104,Eden Lutheran Pre-School,?,"4725 Brockton Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/21632-Eden-Lutheran-Pre-School/#Neighborhood,33.975606,-117.3873757
105,Faith Community Child Development Center,?,"4750 Challen Ave, Riverside, CA 92503",https://www.greatschools.org/california/riverside/21633-Faith-Community-Child-Development-Center/#Neighborhood,33.9296363,-117.461125
106,Riverside City College Erly Ch Development,?,"4800 Magnolia Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/21634-Riverside-City-College-Erly-Ch-Development/#Neighborhood,33.9714889,-117.3808994
107,First United Methodist Pre-School,?,"4845 Brockton Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/21635-First-United-Methodist-Pre-School/#Neighborhood,33.973503,-117.38951
108,Childrens Discovery Center,?,"Po Box 2740, Riverside, CA 92516",https://www.greatschools.org/california/riverside/21636-Childrens-Discovery-Center/#Neighborhood,33.9546403,-117.3936282
109,Mary's Tot Stop Child Development Center,?,"5123 La Sierra Ave, Riverside, CA 92505",https://www.greatschools.org/california/riverside/21638-Marys-Tot-Stop-Child-Development-Center/#Neighborhood,33.923882,-117.4912638
110,First Baptist Day Nursery,?,"5500 Alessandro Boulevard, Riverside, CA 92506",https://www.greatschools.org/california/riverside/21639-First-Baptist-Day-Nursery/#Neighborhood,33.95260200000001,-117.358744
111,Kid's Time,?,"5524 Grand Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21640-Kids-Time/#Neighborhood,33.9697763,-117.4020514
112,Kids of America,?,"5549 Van Buren Blvd, Riverside, CA 92503",https://www.greatschools.org/california/riverside/21641-Kids-Of-America/#Neighborhood,33.9400141,-117.4531152
113,Montessori Academy,?,"6200 Pachappa Drive, Riverside, CA 92506",https://www.greatschools.org/california/riverside/21642-Montessori-Academy/#Neighborhood,33.9562518,-117.3821397
114,Montessori Academy,?,"7141 Indiana Ave, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21643-Montessori-Academy/#Neighborhood,33.9391146,-117.3981097
115,Carolyn E. Wylie Center for Children - Potomac,?,"7177 Potomac St, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21644-Carolyn-E.-Wylie-Center-For-Children---Potomac/#Neighborhood,33.9439846,-117.4030955
116,University Children's Center,?,"807 W Blaine St, Riverside, CA 92507",https://www.greatschools.org/california/riverside/21646-University-Childrens-Center/#Neighborhood,33.9841283,-117.329167
117,Arlington Christian Pre-School,?,"9085 California Ave, Riverside, CA 92503",https://www.greatschools.org/california/riverside/21647-Arlington-Christian-Pre-School/#Neighborhood,33.9315108,-117.4439383
118,YMCA-Riverside-Jurupa,?,"9254 Galena, Riverside, CA 92509",https://www.greatschools.org/california/riverside/21648-YMCA-Riverside-Jurupa/#Neighborhood,34.0041826,-117.4853819
119,Ymca Day Care-Rivside,?,"9254 Galena Street, Riverside, CA 92509",https://www.greatschools.org/california/riverside/21649-Ymca-Day-Care-Rivside/#Neighborhood,34.0041826,-117.4853819
120,Jurupa Family YMCA,?,"9254 Galena St, Riverside, CA 92509",https://www.greatschools.org/california/riverside/21650-Jurupa-Family-YMCA/#Neighborhood,34.0041826,-117.4853819
121,Somerset Educational Services School,65,"17241 Van Buren Boulevard, Riverside, CA 92504",https://www.greatschools.org/california/riverside/10123-Somerset-Educational-Services-School/#Neighborhood,33.8819772,-117.3623018
122,Mission Bell Academy,119,"9994 County Farm Road, Riverside, CA 92503",https://www.greatschools.org/california/riverside/10442-Mission-Bell-Academy/#Neighborhood,33.9184971,-117.4580247
123,St. Paul Lutheran,?,"5939 Magnolia Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/10534-St.-Paul-Lutheran/#Neighborhood,33.9616019,-117.3921255
124,Riverside Montessori Academy,108,"7141 Indiana Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/10846-Riverside-Montessori-Academy/#Neighborhood,33.9391146,-117.3981097
125,Apple Tree Learning Center,55,"220 West Big Springs Road, Riverside, CA 92507",https://www.greatschools.org/california/riverside/11299-Apple-Tree-Learning-Center/#Neighborhood,33.9751668,-117.3161274
126,Sunshine Special Education School,74,"9390 California Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/12634-Sunshine-Special-Education-School/#Neighborhood,33.9274885,-117.4491921
127,Hawarden Hills Academy,285,"6696 Via Vista Drive, Riverside, CA 92506",https://www.greatschools.org/california/riverside/13062-Hawarden-Hills-Academy/#Neighborhood,33.9294137,-117.3482887
128,La Petite Academy #7196,?,"11100 Collett Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/13143-La-Petite-Academy-7196/#Neighborhood,33.9109277,-117.4839701
129,Cottonwood Montessori,30,"4174 Mobley Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/13235-Cottonwood-Montessori/#Neighborhood,33.9147968,-117.4713073
130,Montessori Children's House School,33,"10493 Magnolia Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/13280-Montessori-Childrens-House-School/#Neighborhood,33.9103897,-117.4656442
131,Temple Beth El Child Development Center,?,"2675 Central Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/13431-Temple-Beth-El-Child-Development-Center/#Neighborhood,33.9542989,-117.3688742
132,Kindercare Learning Center,16,"5445 Canyon Crest Drive, Riverside, CA 92507",https://www.greatschools.org/california/riverside/13583-Kindercare-Learning-Center/#Neighborhood,33.9545725,-117.3293781
133,La Petite Academy,?,"6212 Clay Street, Riverside, CA 92509",https://www.greatschools.org/california/riverside/13584-La-Petite-Academy/#Neighborhood,33.9754106,-117.4614138
134,All Saints' Carden Academy,84,"3847 Terracina Drive, Riverside, CA 92506",https://www.greatschools.org/california/riverside/13606-All-Saints-Carden-Academy/#Neighborhood,33.9731448,-117.3841739
135,Learning Bee Montessori Academy,?,"10235 Wells Ave, Riverside, CA 92503",https://www.greatschools.org/california/riverside/24351-Learning-Bee-Montessori-Academy/#Neighborhood,33.9296676,-117.4730966
136,Riverside Christian Middle School,?,"8223 California Ave, Riverside, CA 92504",https://www.greatschools.org/california/riverside/24462-Riverside-Christian-Middle-School/#Neighborhood,33.9404097,-117.4281988
137,Taft Child Dev Centers,?,"959 Mission Grove Pkwy N, Riverside, CA 92506",https://www.greatschools.org/california/riverside/24543-Taft-Child-Dev-Centers/#Neighborhood,33.9277041,-117.3329203
138,Preschool Grasp,150,"3939 13th Street, Riverside, CA 92502",https://www.greatschools.org/california/riverside/24668-Preschool-Grasp/#Neighborhood,33.9789061,-117.3804219
139,Riverside KinderCare,?,"7920 Limonite Ave, Riverside, CA 92509",https://www.greatschools.org/california/riverside/24898-Riverside-KinderCare/#Neighborhood,33.9769036,-117.4580706
140,Allegiant Christian School,168,"9119 Deodar Court, Riverside, CA 92503",https://www.greatschools.org/california/riverside/26138-Allegiant-Christian-School/#Neighborhood,33.9124747,-117.4300573
141,Faith Christian School,30,"5363 Tyler Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/26149-Faith-Christian-School/#Neighborhood,33.9339843,-117.4771568
142,Canyon Crest High School,15,"5225 Canyon Crest Drive, Riverside, CA 92507",https://www.greatschools.org/california/riverside/26165-Canyon-Crest-High-School/#Neighborhood,33.9552829,-117.3301082
143,Starting Gate Educational Services,106,"4011 14th Street, Riverside, CA 92501",https://www.greatschools.org/california/riverside/26169-Starting-Gate-Educational-Services/#Neighborhood,33.9782678,-117.3820743
144,The Real Academy,?,"11801 Pierce Street, Riverside, CA 92505",https://www.greatschools.org/california/riverside/26171-The-Real-Academy/#Neighborhood,33.9015972,-117.4935939
145,University Hills Academy,?,"1085 W. Linden Street, Riverside, CA 92507",https://www.greatschools.org/california/riverside/26485-University-Hills-Academy/#Neighborhood,33.9805244,-117.334673
146,Sherman Indian High School,?,"9010 Magnolia Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/26624-Sherman-Indian-High-School/#Neighborhood,33.9231614,-117.4372407
147,Mentone Adventist Team School,8,"Po Box 127, Riverside, CA 92503",https://www.greatschools.org/california/riverside/26760-Mentone-Adventist-Team-School/#Neighborhood,33.8833867,-117.4438924
